index,word,frequency
1,"nie",6332218
2,"to",4700982
3,"się",3858382
4,"na",2519514
5,"co",2149417
6,"że",2100294
7,"jest",2023735
8,"do",1747671
9,"tak",1628419
10,"jak",1277886
11,"mnie",1065417
12,"ale",1015390
13,"mi",924263
14,"za",783708
15,"ja",675544
16,"ci",655634
17,"tu",652984
18,"go",632658
19,"tego",609218
20,"tym",606894
21,"ty",601296
22,"czy",589049
23,"tylko",588777
24,"po",582253
25,"jestem",570516
26,"cię",569614
27,"ma",567307
28,"może",561335
29,"już",549631
30,"mam",546019
31,"jesteś",526905
32,"pan",482611
33,"coś",475751
34,"dla",463658
35,"wiem",461156
36,"dobrze",445470
37,"jeśli",443666
38,"od",416904
39,"teraz",415526
40,"proszę",396558
41,"tam",394069
42,"wszystko",392808
43,"masz",384384
44,"więc",383285
45,"nic",380302
46,"być",372887
47,"będzie",365191
48,"gdzie",353188
49,"są",350272
50,"on",349643
51,"mogę",343237
52,"ten",341506
53,"ciebie",319300
54,"sobie",316512
55,"wiesz",306393
56,"ze",305086
57,"bardzo",304918
58,"jej",302980
59,"kiedy",297674
60,"był",295288
61,"jeszcze",294146
62,"nas",286426
63,"chcę",285073
64,"mój",283143
65,"było",281541
66,"no",279430
67,"przez",275359
68,"by",275342
69,"pani",273782
70,"ją",272158
71,"jego",270696
72,"ich",267371
73,"dlaczego",266227
74,"chcesz",259877
75,"żeby",254798
76,"tutaj",243253
77,"mamy",242735
78,"też",240465
79,"bo",238884
80,"dobra",237752
81,"kto",234907
82,"nigdy",229917
83,"przepraszam",223935
84,"mu",223016
85,"naprawdę",215285
86,"możesz",207462
87,"chyba",205156
88,"porządku",204944
89,"dziękuję",203952
90,"muszę",197728
91,"panie",184840
92,"właśnie",184626
93,"ona",180695
94,"domu",178302
95,"zrobić",176038
96,"nawet",175506
97,"gdy",173406
98,"prawda",172956
99,"te",169082
100,"nam",169024
101,"będę",166245
102,"zawsze",161958
103,"bez",161809
104,"nim",161295
105,"je",161009
106,"była",158727
107,"jesteśmy",158063
108,"dzięki",157553
109,"tej",157189
110,"moja",156694
111,"trochę",155421
112,"ktoś",155338
113,"musisz",154581
114,"cześć",152901
115,"hej",151372
116,"lat",149030
117,"moje",148640
118,"pana",148124
119,"musimy",146524
120,"dalej",145526
121,"twój",144946
122,"wszyscy",144790
123,"czas",143941
124,"chce",142771
125,"który",142569
126,"więcej",140970
127,"tobą",140064
128,"boże",139980
129,"powiedzieć",139301
130,"sam",138760
131,"chodzi",137968
132,"czego",136467
133,"ta",135861
134,"możemy",135316
135,"albo",133176
136,"mną",131100
137,"razem",128955
138,"niech",128810
139,"dobry",128290
140,"raz",127535
141,"stało",127469
142,"was",126116
143,"czym",125583
144,"prostu",124269
145,"będziesz",124085
146,"chodź",123571
147,"czemu",120454
148,"przed",120257
149,"ludzi",119578
150,"daj",119157
151,"ludzie",119090
152,"dzień",117068
153,"przy",116691
154,"życie",115875
155,"niż",114380
156,"robisz",114125
157,"myślę",114041
158,"lepiej",113481
159,"kim",111217
160,"myślisz",109028
161,"miał",108819
162,"my",108591
163,"nikt",107112
164,"czasu",107092
165,"powiedz",106118
166,"rzeczy",105655
167,"twoja",105162
168,"tych",105075
169,"stąd",104623
170,"niego",104038
171,"mówi",103767
172,"im",103316
173,"temu",103065
174,"jeden",102804
175,"pod",102449
176,"musi",100837
177,"siebie",100307
178,"twoje",99558
179,"powiedział",99336
180,"oczywiście",99248
181,"ok",99020
182,"moim",98709
183,"oni",98518
184,"dwa",94795
185,"które",94007
186,"pewnie",93961
187,"dziś",93873
188,"kurwa",93855
189,"wie",92776
190,"taki",92569
191,"aby",91995
192,"skąd",90515
193,"cholera",90028
194,"dzieje",89707
195,"wygląda",89704
196,"wtedy",89502
197,"mojego",89020
198,"takie",88726
199,"ile",88695
200,"wszystkie",88296
201,"mieć",87462
202,"dlatego",87352
203,"znaczy",87146
204,"będziemy",87029
205,"potem",86122
206,"jasne",84529
207,"iść",84345
208,"dużo",83876
209,"cóż",83458
210,"tę",83421
211,"byłem",83335
212,"rozumiem",82629
213,"wam",82512
214,"miejsce",82432
215,"cały",82357
216,"trzeba",82238
217,"moją",82132
218,"można",81689
219,"pomóc",80551
220,"jako",79922
221,"nich",79786
222,"szybko",79546
223,"jakiś",79443
224,"mojej",79377
225,"nią",79307
226,"mają",78820
227,"wszystkich",78724
228,"jakieś",78630
229,"wiedzieć",78558
230,"swoje",78379
231,"przykro",78352
232,"stary",78129
233,"zaraz",77737
234,"myśli",77720
235,"dzieci",77591
236,"nad",77414
237,"wiele",77042
238,"kochanie",75302
239,"kilka",74526
240,"mówię",73750
241,"mówisz",72831
242,"zanim",72094
243,"miałem",71793
244,"kocham",71788
245,"świetnie",71774
246,"tobie",71674
247,"takiego",71480
248,"tyle",71437
249,"robić",71185
250,"trzy",70852
251,"idź",70488
252,"kogoś",70393
253,"ani",70236
254,"pewno",69987
255,"myślałem",69327
256,"widzisz",69094
257,"kiedyś",68686
258,"robi",68666
259,"widzę",68519
260,"jaki",68442
261,"niej",68207
262,"ojciec",68044
263,"zbyt",67856
264,"która",67646
265,"zobaczyć",66563
266,"przestań",66544
267,"sposób",66219
268,"pracy",65573
269,"dzisiaj",65527
270,"sie",65486 (sie could be a common misspelling mistake; should be się)
271,"później",65274
272,"bardziej",65265
273,"będą",65165
274,"aż",64974
275,"życia",64382
276,"jutro",63634
277,"tą",62987
278,"rację",62683
279,"żebyś",62332
280,"długo",62220
281,"tato",62103
282,"każdy",61560
283,"twoim",61526
284,"chciałem",61472
285,"dni",61268
286,"twojej",61090
287,"nadzieję",60937
288,"stanie",60903
289,"koniec",60652
290,"znam",60241
291,"mamo",59764
292,"swoją",59738
293,"problem",59637
294,"żyje",59579
295,"potrzebuję",59449
296,"widziałem",59436
297,"spokój",59126
298,"powiem",58913
299,"minut",58871
300,"broń",58600
301,"panu",57879
302,"mógł",57796
303,"nami",57733
304,"wy",57552
305,"nocy",57442
306,"wciąż",57238
307,"znowu",57223
308,"pieniądze",57097
309,"imię",56986
310,"dnia",56883
311,"zabić",56825
312,"drzwi",56742
313,"pierwszy",56721
314,"taka",56534
315,"nasz",56231
316,"posłuchaj",56210
317,"ponieważ",56040
318,"słuchaj",56016
319,"jakie",55998
320,"gdyby",55752
321,"miło",55488
322,"spójrz",55171
323,"chciałbym",54679
324,"sir",54675
325,"razie",54507
326,"nasze",54504
327,"dokładnie",54449
328,"czuję",54444
329,"zrobił",53920
330,"dobre",53780
331,"samo",53424
332,"nadal",53243
333,"człowiek",52627
334,"twoją",52602
335,"znaleźć",52411
336,"chwilę",52363
337,"chciał",52254
338,"kogo",51821
339,"zostać",51709
340,"czegoś",51618
341,"wszystkim",51565
342,"został",51434
343,"roku",51394
344,"mówić",51382
345,"jesteście",50801
346,"facet",50784
347,"mów",50557
348,"powiedziałem",50295
349,"były",50159
350,"którzy",50157
351,"dziecko",50130
352,"idziemy",49885
353,"sama",49783
354,"macie",49696
355,"mówiłem",49521
356,"we",49497
357,"napisy",49310
358,"mogą",49254
359,"spokojnie",49245
360,"sobą",49195
361,"bym",49174
362,"miała",49145
363,"przecież",48935
364,"dom",48912
365,"poza",48757
366,"zamknij",48606
367,"byłeś",48564
368,"lubię",48512
369,"oh",48490
370,"żadnych",48290
371,"pomocy",48234
372,"prawie",47866
373,"gdzieś",47792
374,"porozmawiać",47731
375,"wcześniej",47584
376,"podoba",47339
377,"zrobię",46456
378,"czekaj",46194
379,"dość",45987
380,"twojego",45986
381,"lub",45942
382,"moich",45786
383,"razy",45590
384,"znasz",45382
385,"mały",45296
386,"ciągle",45264
387,"jakby",45227
388,"wydaje",45206
389,"mama",45190
390,"powinniśmy",45112
391,"jeżeli",45091
392,"jack",44921
393,"powinieneś",44786
394,"innego",44606
395,"sprawy",44488
396,"rozumiesz",44444
397,"trzymaj",44100
398,"końcu",44071
399,"powodu",44042
400,"jedno",44003
401,"pamiętasz",43970
402,"pomysł",43864
403,"noc",43769
404,"pewien",43765
405,"którą",43203
406,"wiemy",43172
407,"bądź",43109
408,"żebym",42993
409,"numer",42928
410,"oczy",42855
411,"lata",42779
412,"dwie",42711
413,"miejscu",42552
414,"dokąd",42442
415,"och",42401
416,"pokoju",42270
417,"chodźmy",42201
418,"ojca",42157
419,"weź",41951
420,"idę",41896
421,"samochód",41771
422,"nowy",41525
423,"jednak",41449
424,"świat",41166
425,"źle",41152
426,"którego",41062
427,"niczego",41005
428,"oto",40989
429,"dwóch",40251
430,"sprawa",40016
431,"swój",39445
432,"idzie",39247
433,"takim",39137
434,"jedną",39023
435,"wystarczy",38813
436,"byłam",38771
437,"rano",38756
438,"nimi",38595
439,"halo",38409
440,"byś",38379
441,"życiu",38155
442,"całe",38154
443,"wiedziałem",38051
444,"swojego",38006
445,"śmierć",37903
446,"ręce",37889
447,"musiał",37822
448,"którym",37771
449,"całą",37763
450,"chcą",37708
451,"da",37674
452,"właściwie",37548
453,"zrób",37367
454,"panowie",37317
455,"skoro",37210
456,"drogi",37115
457,"czujesz",36990
458,"dam",36877
459,"pozwól",36877
460,"wyglądasz",36866
461,"jednego",36824
462,"jedna",36748
463,"mówił",36703
464,"których",36685
465,"świecie",36444
466,"patrz",36357
467,"nikogo",36345
468,"byli",36321
469,"pytanie",36316
470,"swoim",36189
471,"której",36035
472,"powinienem",35909
473,"jezu",35908
474,"dać",35885
475,"rzecz",35827
476,"powiedziała",35759
477,"powiedziałeś",35755
478,"najpierw",35621
479,"sądzę",35603
480,"prawo",35446
481,"matka",35379
482,"widzieć",35332
483,"John",35318 (this is not Polish given name - see Jan)
484,"dr",35200
485,"telefon",35156
486,"podczas",35051
487,"wczoraj",35027
488,"śmierci",35009
489,"pracę",34905
490,"pamiętam",34851
491,"uważaj",34830
492,"parę",34736
493,"wrócić",34703
494,"diabła",34658
495,"the",34552
496,"robię",34521
497,"zrobiłem",34469
498,"kobiety",34445
499,"poważnie",34369
500,"miejsca",34332
501,"znów",34199
502,"cholery",34197
503,"zrobiłeś",34090
504,"sprawę",34034
505,"zaczekaj",34010
506,"powiesz",33888
507,"rób",33782
508,"natychmiast",33596
509,"dziewczyna",33551
510,"również",33542
511,"działa",33525
512,"słyszałem",33493
513,"pięć",33449
514,"super",33448
515,"swoich",33399
516,"mówią",33387
517,"witam",33332
518,"całkiem",33270
519,"cokolwiek",33212
520,"witaj",33098
521,"gdybym",33091
522,"żona",32963
523,"prawdę",32928
524,"zostaw",32873
525,"bóg",32864
526,"wierzę",32849
527,"szybciej",32766
528,"nieźle",32681
529,"wielu",32661
530,"inaczej",32609
531,"gra",32569
532,"dopiero",32555
533,"wcale",32513
534,"pieniędzy",32432
535,"pójdę",32309
536,"godziny",32217
537,"wiedział",32192
538,"udało",32190
539,"człowieka",32185
540,"stać",32164
541,"wina",32155
542,"wiecie",32144
543,"swojej",32105
544,"poznać",32007
545,"inne",31916
546,"jednym",31916
547,"myślałam",31802
548,"miałam",31797
549,"chwili",31696
550,"innych",31657
551,"dopóki",31559
552,"nowa",31325
553,"kobieta",31238
554,"nowego",31217
555,"miłość",31185
556,"ziemi",31107
557,"inny",31025
558,"przynajmniej",30943
559,"nasza",30865
560,"ważne",30862
561,"wiadomość",30812
562,"dolarów",30797
563,"słowa",30777
564,"słucham",30765
565,"naszych",30712
566,"naszej",30686
567,"między",30623
568,"dostać",30606
569,"czasem",30583
570,"chciałam",30458
571,"jaką",30404
572,"gówno",30375
573,"brzmi",30345
574,"chcemy",30272
575,"każdego",30096
576,"raczej",30074
577,"możliwe",30045
578,"każdym",29992
579,"widziałeś",29988
580,"dawaj",29971
581,"nazywa",29892
582,"powinien",29838
583,"zabrać",29797
584,"dziewczyny",29790
585,"miałeś",29746
586,"chłopaki",29717
587,"doktorze",29631
588,"potrzebuje",29631
589,"zgadza",29621
590,"zrobimy",29594
591,"godzin",29468
592,"ostatni",29453
593,"wieczór",29439
594,"świata",29408
595,"serce",29364
596,"martw",29354
597,"wielki",29353
598,"powrotem",29298
599,"żyć",29283
600,"one",29217
601,"plan",29204
602,"pl",29177
603,"byłoby",29172
604,"potrzebujemy",29151
605,"dobranoc",28988
606,"żadnego",28980
607,"kapitanie",28915
608,"zobaczenia",28908
609,"możecie",28873
610,"wspaniale",28817
611,"ogóle",28779
612,"także",28691
613,"pół",28687
614,"idziesz",28570
615,"takich",28524
616,"pojęcia",28489
617,"twoich",28412
618,"czymś",28375
619,"cztery",28367
620,"skarbie",28291
621,"tata",28267
622,"naszego",28250
623,"panią",28243
624,"wybacz",28100
625,"chcecie",28034
626,"zrobisz",28032
627,"pokój",27942
628,"poczekaj",27734
629,"uda",27667
630,"głowy",27634
631,"szczęście",27621
632,"wyjść",27560
633,"robota",27521
634,"naszym",27421
635,"syn",27389
636,"gotowy",27371
637,"cieszę",27361
638,"głowę",27280
639,"rozmawiać",27266
640,"krwi",27199
641,"wszystkiego",27191
642,"zabił",27183
643,"czasie",27182
644,"ciało",27094
645,"należy",27025
646,"dziwne",26997
647,"została",26859
648,"przeciwko",26852
649,"ruszaj",26821
650,"cała",26731
651,"strony",26716
652,"jaka",26574
653,"mógłbym",26502
654,"oznacza",26433
655,"pomoc",26428
656,"taką",26420
657,"zostało",26386
658,"miasta",26369
659,"tłumaczenie",26367
660,"końca",26351
661,"zostanie",26296
662,"policja",26141
663,"mieli",26097
664,"pewna",26045
665,"obchodzi",26017
666,"ode",26001
667,"syna",25923
668,"czasami",25817
669,"twarz",25773
670,"rok",25639
671,"mieliśmy",25523
672,"lecz",25481
673,"ostatnio",25461
674,"uwierzyć",25453
675,"daleko",25423
676,"rodziny",25406
677,"mogłem",25404
678,"lubisz",25357
679,"blisko",25316
680,"zły",25310
681,"środku",25242
682,"boga",25241
683,"byliśmy",25218
684,"drodze",25211
685,"szkoły",25209
686,"czeka",25201
687,"słowo",25132
688,"radę",24920
689,"człowiekiem",24919
690,"mogła",24907
691,"brat",24899
692,"mała",24864
693,"krew",24846
694,"najbardziej",24791
695,"wejść",24785
696,"zewnątrz",24588
697,"mąż",24568
698,"robimy",24546
699,"słyszysz",24441
700,"kimś",24431
701,"część",24395
702,"wieczorem",24350
703,"widziałam",24317
704,"zna",24311
705,"wody",24263
706,"moi",24234
707,"potrzebujesz",24207
708,"lubi",24169
709,"wracaj",24102
710,"rękę",24023
711,"tydzień",23987
712,"frank",23982
713,"wrócę",23949
714,"innym",23927
715,"wypadek",23897
716,"mówiłeś",23861
717,"stronie",23851
718,"mógłbyś",23803
719,"sprawie",23779
720,"zobaczymy",23740
721,"wziąć",23664
722,"gdybyś",23657
723,"naszą",23601
724,"nazywam",23587
725,"późno",23578
726,"zależy",23448
727,"człowieku",23435
728,"góry",23403
729,"pomóż",23348
730,"jechać",23331
731,"pokaż",23278
732,"ciężko",23252
733,"napisów",23180
734,"serio",23122
735,"roboty",23100
736,"zrobi",22949
737,"mniej",22858
738,"broni",22846
739,"kiedykolwiek",22809
740,"temat",22767
741,"mało",22758
742,"popatrz",22689
743,"charlie",22667
744,"prawa",22627
745,"miesięcy",22604
746,"pójść",22597
747,"koleś",22575
748,"jedziemy",22552
749,"wkrótce",22515
750,"nowe",22493
751,"pierwsze",22435
752,"nazwisko",22435
753,"miasto",22429
754,"racja",22411
755,"leci",22409
756,"zostań",22338
757,"stronę",22319
758,"nieważne",22307
759,"chciała",22283
760,"chłopak",22277
761,"zdjęcia",22145
762,"znalazłem",22127
763,"powinno",22119
764,"robią",22114
765,"powinnaś",22100
766,"statek",22082
767,"zostały",22043
768,"wszędzie",22039
769,"prosto",22000
770,"wielkie",21963
771,"dół",21960
772,"zupełnie",21921
773,"tędy",21870
774,"spotkanie",21868
775,"małe",21789
776,"ponad",21715
777,"według",21683
778,"widział",21679
779,"mówiąc",21670
780,"drogę",21669
781,"doktor",21645
782,"praca",21644
783,"drugi",21632
784,"byłaś",21546
785,"górę",21507
786,"wiedzą",21504
787,"mieście",21496
788,"jakoś",21492
789,"film",21489
790,"czyli",21453
791,"chociaż",21389
792,"kłopoty",21376
793,"droga",21338
794,"samochodu",21301
795,"szansę",21294
796,"zatrzymać",21290
797,"niemożliwe",21244
798,"spać",21235
799,"chłopcy",21208
800,"mógłby",21175
801,"wasza",21159
802,"sądzisz",21153
